Max PS,Min PS,Number of Packets,Frame Size (Byte),IFI (ns),SEQ Number,Timestamp,RTP FPS
1442,172,25,33394,53244543.000000000,27752,3614592985,18.967334035827186
1442,1039,28,38587,44354833.000000000,27780,3614597564,19.654946494867875
1442,209,29,39199,50906292.000000000,27809,3614601883,20.83815698078259
1442,932,31,42806,53055445.000000000,27840,3614606353,20.13422818791946
1442,1072,38,53040,46121220.000000000,27878,3614611012,19.31745009658725
1442,999,29,39989,51171315.000000000,27907,3614615222,21.377672209026127
1442,1439,38,53407,51914042.000000000,27945,3614620222,18.0
1442,324,35,47966,50732262.000000000,27980,3614624692,20.13422818791946
1442,885,37,51411,55111735.000000000,28017,3614629574,18.435067595247848
1442,656,95,132074,46255518.000000000,28112,3614633789,21.352313167259787
1442,705,16,20949,49754997.000000000,28128,3614638154,20.61855670103093
1442,1061,22,29957,44168272.000000000,28150,3614642423,21.082220660576247
1442,1072,25,34294,52252122.000000000,28175,3614647099,19.24721984602224
1442,310,30,40742,51354183.000000000,28205,3614651412,20.86714583816369
1442,704,27,36810,49963869.000000000,28232,3614655908,20.01779359430605
1442,1108,27,37214,50859809.000000000,28259,3614660284,20.56672760511883
1442,1024,34,47224,48934939.000000000,28293,3614664883,19.569471624266146
1442,1364,31,43238,50162311.000000000,28324,3614669468,19.629225736095965
1442,629,29,39619,49394850.000000000,28353,3614674000,19.858781994704326
1442,818,93,129352,49565356.000000000,28446,3614678416,20.380434782608695
1442,89,12,14565,54260535.000000000,28458,3614683341,18.274111675126903
1442,1367,23,31705,43932113.000000000,28481,3614687412,22.10759027266028
1442,868,21,28322,50583150.000000000,28502,3614691559,21.702435495538943
1442,68,27,36174,46027376.000000000,28529,3614696039,20.089285714285715
1442,122,26,34786,48665433.000000000,28555,3614700432,20.48713862963806
1442,198,30,40630,49831154.000000000,28585,3614704768,20.756457564575644
1442,258,25,33480,51674039.000000000,28610,3614709237,20.138733497426717
1442,1181,26,35845,46224135.000000000,28636,3614713554,20.847810979847115
1442,226,28,37774,45840744.000000000,28664,3614718189,19.41747572815534
1442,1257,92,128349,55451263.000000000,28756,3614722830,19.392372333548803
1442,795,15,19597,47061497.000000000,28771,3614726948,21.85526954832443
1442,665,25,33887,55001562.000000000,28796,3614731615,19.28433683308335
1442,1022,23,31360,47787896.000000000,28819,3614735894,21.032951624211265
1442,1372,32,44688,43117883.000000000,28851,3614740542,19.3631669535284
1442,561,26,35225,55596495.000000000,28877,3614744767,21.301775147928993
1442,174,30,40606,46599089.000000000,28907,3614749011,21.20640904806786
1442,1099,30,41531,50063716.000000000,28937,3614753805,18.773466833541928
1442,1025,27,37131,48724034.000000000,28964,3614758100,20.954598370197903
1442,1091,33,45849,51698027.000000000,28997,3614762939,18.598884066955982
1442,748,78,107652,53078129.000000000,29075,3614767581,19.38819474364498
1442,552,20,26564,46580829.000000000,29095,3614771730,21.691973969631235
1442,1383,27,37489,49683205.000000000,29122,3614776473,18.975332068311197
1442,649,25,33871,51039317.000000000,29147,3614780823,20.689655172413794
1442,420,26,35084,54066635.000000000,29173,3614785520,19.161166702150307
1442,1371,29,40361,47681555.000000000,29202,3614789979,20.183897734918144
1442,109,31,41983,50847694.000000000,29233,3614794222,21.211407023332548
1442,62,28,37610,48166265.000000000,29261,3614799138,18.307567127746136
1442,540,29,39530,49887067.000000000,29290,3614803376,21.236432279377066
1442,177,33,44935,52007423.000000000,29323,3614807982,19.539730785931393
1442,1043,81,112273,45781431.000000000,29404,3614812188,21.398002853067048
