No.,time,src,dst,src_port,dst_port,Marker,RTP_seq,RTP_Timestamp
37,0.000643,10.0.0.1,10.0.0.2,5000,5002,False,23302,3799104933
38,0.000646,10.0.0.1,10.0.0.2,5000,5002,False,23303,3799104933
39,0.000648,10.0.0.1,10.0.0.2,5000,5002,False,23304,3799104933
40,0.000649,10.0.0.1,10.0.0.2,5000,5002,False,23305,3799104933
41,0.000651,10.0.0.1,10.0.0.2,5000,5002,False,23306,3799104933
42,0.000653,10.0.0.1,10.0.0.2,5000,5002,False,23307,3799104933
43,0.000654,10.0.0.1,10.0.0.2,5000,5002,False,23308,3799104933
44,0.000656,10.0.0.1,10.0.0.2,5000,5002,False,23309,3799104933
45,0.000658,10.0.0.1,10.0.0.2,5000,5002,False,23310,3799104933
46,0.00066,10.0.0.1,10.0.0.2,5000,5002,False,23311,3799104933
47,0.000661,10.0.0.1,10.0.0.2,5000,5002,False,23312,3799104933
48,0.000663,10.0.0.1,10.0.0.2,5000,5002,False,23313,3799104933
49,0.000664,10.0.0.1,10.0.0.2,5000,5002,False,23314,3799104933
50,0.000666,10.0.0.1,10.0.0.2,5000,5002,False,23315,3799104933
51,0.000668,10.0.0.1,10.0.0.2,5000,5002,False,23316,3799104933
52,0.000679,10.0.0.1,10.0.0.2,5000,5002,False,23317,3799104933
53,0.000681,10.0.0.1,10.0.0.2,5000,5002,False,23318,3799104933
54,0.000683,10.0.0.1,10.0.0.2,5000,5002,False,23319,3799104933
55,0.000684,10.0.0.1,10.0.0.2,5000,5002,False,23320,3799104933
56,0.000687,10.0.0.1,10.0.0.2,5000,5002,False,23321,3799104933
57,0.000688,10.0.0.1,10.0.0.2,5000,5002,False,23322,3799104933
58,0.00069,10.0.0.1,10.0.0.2,5000,5002,False,23323,3799104933
59,0.000691,10.0.0.1,10.0.0.2,5000,5002,False,23324,3799104933
60,0.000693,10.0.0.1,10.0.0.2,5000,5002,False,23325,3799104933
61,0.000694,10.0.0.1,10.0.0.2,5000,5002,False,23326,3799104933
62,0.000696,10.0.0.1,10.0.0.2,5000,5002,False,23327,3799104933
63,0.000698,10.0.0.1,10.0.0.2,5000,5002,False,23328,3799104933
64,0.0007,10.0.0.1,10.0.0.2,5000,5002,False,23329,3799104933
65,0.000701,10.0.0.1,10.0.0.2,5000,5002,False,23330,3799104933
66,0.000703,10.0.0.1,10.0.0.2,5000,5002,False,23331,3799104933
67,0.000771,10.0.0.1,10.0.0.2,5000,5002,False,23332,3799104933
68,0.000772,10.0.0.1,10.0.0.2,5000,5002,False,23333,3799104933
69,0.000774,10.0.0.1,10.0.0.2,5000,5002,False,23334,3799104933
70,0.000776,10.0.0.1,10.0.0.2,5000,5002,False,23335,3799104933
71,0.000778,10.0.0.1,10.0.0.2,5000,5002,False,23336,3799104933
72,0.000779,10.0.0.1,10.0.0.2,5000,5002,False,23337,3799104933
73,0.000781,10.0.0.1,10.0.0.2,5000,5002,False,23338,3799104933
74,0.000782,10.0.0.1,10.0.0.2,5000,5002,False,23339,3799104933
75,0.000784,10.0.0.1,10.0.0.2,5000,5002,False,23340,3799104933
76,0.000786,10.0.0.1,10.0.0.2,5000,5002,False,23341,3799104933
77,0.000788,10.0.0.1,10.0.0.2,5000,5002,True,23342,3799104933
78,0.049526,10.0.0.1,10.0.0.2,5000,5002,False,23343,3799109870
79,0.053595,10.0.0.1,10.0.0.2,5000,5002,False,23344,3799109870
80,0.053601,10.0.0.1,10.0.0.2,5000,5002,False,23345,3799109870
81,0.053604,10.0.0.1,10.0.0.2,5000,5002,False,23346,3799109870
